,ISIN,TRBC Industry Group Name
50,DE0006602006,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
51,DE0007257503,Specialty Retailers
52,DE000A1DAHH0,Chemicals
53,DK0060227585,Food & Tobacco
54,PLPZU0000011,Insurance
55,ES0130670112,Electric Utilities & IPPs
56,SE0015811963,Investment Holding Companies
57,DK0061804770,Pharmaceuticals
58,SE0000114837,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
59,DK0061539921,Renewable Energy
60,SE0000695876,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
61,SE0000825820,Electric Utilities & IPPs
62,ES0116870314,Natural Gas Utilities
63,ES0124244E34,Insurance
64,AT0000746409,Electric Utilities & IPPs
65,DE000WCH8881,Chemicals
66,FI0009005987,Paper & Forest Products
67,DK0010274414,Banking Services
68,SE0000108227,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
69,CH0012221716,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
70,AT0000606306,Banking Services
71,CZ0005112300,Electric Utilities & IPPs
72,DE0005773303,Transport Infrastructure
73,DK0010244508,Freight & Logistics Services
74,PLKGHM000017,Metals & Mining
75,DE0007472060,Professional & Commercial Services
76,DE000A0HN5C6,Real Estate Operations
77,ES0118900010,Construction & Engineering
78,ES0109067019,Software & IT Services
79,DK0060336014,Chemicals
80,DE000TLX1005,Insurance
81,DE000A1J5RX9,Telecommunications Services
82,DK0060448595,Healthcare Equipment & Supplies
83,DE000KGX8881,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
84,DK0060534915,Pharmaceuticals
85,CH0012142631,Chemicals
86,CH0012255151,Textiles & Apparel
87,CH0023405456,Specialty Retailers
88,CH0008742519,Telecommunications Services
89,CH0012214059,Construction Materials
90,CH0126881561,Insurance
91,CH0012005267,Pharmaceuticals
92,CH0016440353,Chemicals
93,CH0014852781,Insurance
94,CH0002497458,
95,CH0210483332,Textiles & Apparel
96,CH1175448666,Healthcare Equipment & Supplies
97,CH0025238863,Freight & Logistics Services
98,CH0024638196,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
99,CH0102484968,Banking Services
100,CH0009002962,Food & Tobacco
101,CH0008038389,Real Estate Operations
102,CH0012032048,Pharmaceuticals
103,CH0011075394,Insurance
104,CH0012138530,Banking Services
105,CH0010645932,Chemicals
106,CH0012549785,Healthcare Equipment & Supplies
107,CH0030170408,Homebuilding & Construction Supplies
108,CH0012410517,Insurance
109,CH0038863350,Food & Tobacco
110,DK0060542181,Professional & Commercial Services
111,DE000ZAL1111,Software & IT Services
112,CH0244767585,Investment Banking & Investment Services
113,ES0105046009,Transport Infrastructure
114,DK0060636678,Insurance
115,SE0007100599,Banking Services
116,SE0007100581,Homebuilding & Construction Supplies
117,DE0006062144,Chemicals
118,DE000SHA0159,Automobiles & Auto Parts
119,ES0171996087,Pharmaceuticals
120,CH0319416936,Transport Infrastructure
121,DK0060094928,Electric Utilities & IPPs
122,ES0173093024,Electric Utilities & IPPs
123,NL0012169213,Biotechnology & Medical Research
124,DE000BFB0019,Food & Drug Retailing
125,CNE100000296,Automobiles & Auto Parts
126,SE0017486889,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
127,IE00BK9ZQ967,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
128,SE0017768716,Metals & Mining
129,KYG3777B1032,Automobiles & Auto Parts
130,CH0418792922,Chemicals
131,KYG875721634,Software & IT Services
132,BE0974293251,Beverages
133,NO0010890304,Professional & Commercial Services
134,IT0001006128,Transport Infrastructure
135,FR0010340141,Transport Infrastructure
136,IT0001384590,Textiles & Apparel
137,NO0003078107,Construction & Engineering
138,NL0013267909,Chemicals
139,FR0010131409,Software & IT Services
140,FR0010220475,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
141,NL0000888691,Metals & Mining
142,IT0004056880,Healthcare Equipment & Supplies
143,FR0000064164,Paper & Forest Products
144,FR0000051732,Software & IT Services
145,FR0000035164,Leisure Products
146,IT0005244402,Banking Services
147,FR0013280286,Healthcare Equipment & Supplies
148,IE00BD1RP616,Banking Services
149,DE0007236101,Software & IT Services
150,IT0004329733,Media & Publishing
151,IT0003121677,Banking Services
152,BE0974256852,Food & Drug Retailing
153,IT0004053440,Office Equipment
154,FR0000125486,Construction & Engineering
155,GB0002374006,Beverages
156,LU0290697514,Oil & Gas Related Equipment and Services
157,IT0003115950,Household Goods
158,IT0001044996,Banking Services
159,IT0005394413,Software & IT Services
160,FR0014003TT8,Software & IT Services
161,ES0127797019,Electric Utilities & IPPs
162,FR0012435121,Professional & Commercial Services
163,NL0012059018,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
164,FR0000130452,Construction & Engineering
165,IT0000060886,Passenger Transportation Services
166,IT0001033700,Specialty Retailers
167,BE0003797140,Investment Holding Companies
168,IT0003203947,Electronic Equipment & Parts
169,IT0000062072,Insurance
170,FR0010040865,Residential & Commercial REITs
171,NO0010582521,Insurance
172,IE0000669501,Food & Tobacco
173,FR0000066672,Professional & Commercial Services
174,NL0000009165,Beverages
175,NL0000008977,Beverages
176,GB00BK7YQK64,Residential & Commercial REITs
177,IT0001250932,Multiline Utilities
178,IT0005322612,Residential & Commercial REITs
179,IT0001078911,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
180,FR0010259150,Pharmaceuticals
181,LU0556041001,Food & Drug Retailing
182,PTJMT0AE0001,Food & Drug Retailing
183,BE0003565737,Banking Services
184,BE0974274061,Hotels & Entertainment Services
185,NL0000009082,Telecommunications Services
186,BE0003822393,Electric Utilities & IPPs
187,FR0010307819,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
188,FR0000065484,Software & IT Services
189,IT0003428445,Food & Drug Retailing
190,DE0008430026,Insurance
191,NO0003054108,Food & Tobacco
192,PTCOR0AE0006,Paper & Forest Products
193,IT0005385213,Food & Tobacco
194,NO0003733800,Food & Tobacco
195,FR0000184798,Healthcare Providers & Services
196,IT0005138703,Food & Drug Retailing
197,BE0974294267,Metals & Mining
198,BE0003810273,Telecommunications Services
199,DE000PSM7770,Media & Publishing
200,NL0011585146,Automobiles & Auto Parts
201,FR0000121634,Construction & Engineering
202,FR0000121121,Investment Banking & Investment Services
203,FR0000121220,Hotels & Entertainment Services
204,FR0000060618,Food & Drug Retailing
205,FR0000052292,Textiles & Apparel
206,GB00BNR4T868,Professional & Commercial Services
207,NO0010863285,Hotels & Entertainment Services
208,GB00B5ZN1N88,Residential & Commercial REITs
209,IE00B1RR8406,Containers & Packaging
210,BE0003765790,Food & Tobacco
211,BE0003470755,Chemicals
212,PTSON0AM0001,Food & Drug Retailing
213,FR0000077919,Media & Publishing
214,IT0004195308,Banking Services
215,NO0010063308,Telecommunications Services
216,FR0000051807,Professional & Commercial Services
217,FR0005691656,Leisure Products
218,GB00B10RZP78,Personal & Household Products & Services
219,IT0004810054,Insurance
220,GB00B2B0DG97,Professional & Commercial Services
221,FR0013326246,Residential & Commercial REITs
222,NO0005806802,Construction & Engineering
223,BE0003878957,Real Estate Operations
224,NL0009432491,Oil & Gas Related Equipment and Services
225,BE0974349814,Residential & Commercial REITs
226,NL0000395903,Professional & Commercial Services
227,FR0014004EC4,"Machinery, Tools, Heavy Vehicles, Trains & Ships"
228,NO0010208051,Chemicals
229,NO0010708910,Professional & Commercial Services
